timestamp,users,gpu_t,gpu_a,gpu_nvml,gpu_duty,vram_t,vram_a,cpu_t,cpu_a,ram_t,ram_a
2026-09-10T11:43:56,,40.0,,1.0,0.400,0.0,29.8,0.0,0.0,0.0,11.1
2026-09-10T11:43:58,,40.0,30.0,0.0,0.450,0.0,30.0,0.0,23.4,0.0,11.3
2026-09-10T11:44:00,,40.0,41.9,0.0,0.440,0.0,30.0,0.0,11.3,0.0,11.3
2026-09-10T11:44:02,,40.0,40.8,0.0,0.437,0.0,30.0,0.0,11.7,0.0,11.3
2026-09-10T11:44:04,,40.0,39.9,0.0,0.437,0.0,30.0,0.0,11.4,0.0,11.3
2026-09-10T11:44:06,,40.0,41.8,30.0,0.428,0.0,30.0,0.0,16.8,0.0,11.3
2026-09-10T11:44:08,,40.0,39.3,78.0,0.432,0.0,30.0,0.0,13.1,0.0,11.3
2026-09-10T11:44:10,,40.0,40.3,76.0,0.431,0.0,30.0,0.0,12.8,0.0,11.3
2026-09-10T11:44:12,,40.0,39.3,74.0,0.434,0.0,30.0,0.0,12.8,0.0,11.3
2026-09-10T11:44:14,,40.0,40.5,50.0,0.431,0.0,30.0,0.0,13.3,0.0,11.3
2026-09-10T11:44:16,,40.0,39.1,5.0,0.436,0.0,30.1,0.0,20.2,0.0,11.3
2026-09-10T11:44:18,,40.0,40.3,0.0,0.434,0.0,30.1,0.0,14.6,0.0,11.3
2026-09-10T11:44:20,,40.0,39.5,0.0,0.436,0.0,30.1,0.0,15.2,0.0,11.3
2026-09-10T11:44:22,,40.0,40.2,0.0,0.435,0.0,30.0,0.0,12.7,0.0,11.3
2026-09-10T11:44:24,,40.0,39.9,0.0,0.436,0.0,30.0,0.0,13.4,0.0,11.3
2026-09-10T11:44:26,,40.0,40.5,0.0,0.434,0.0,30.0,0.0,12.7,0.0,11.3
2026-09-10T11:44:28,,40.0,39.3,50.0,0.437,0.0,30.0,0.0,12.3,0.0,11.3
2026-09-10T11:44:30,,40.0,40.4,75.0,0.436,0.0,29.8,0.0,13.4,0.0,11.3
2026-09-10T11:44:32,,40.0,40.2,74.0,0.435,0.0,30.0,0.0,14.6,0.0,11.3
2026-09-10T11:44:34,,40.0,40.5,47.0,0.432,0.0,30.0,0.0,16.4,0.0,11.4
2026-09-10T11:44:36,,40.0,40.2,5.0,0.431,0.0,29.9,0.0,13.2,0.0,11.3
2026-09-10T11:44:38,,40.0,39.9,0.0,0.432,0.0,29.9,0.0,12.6,0.0,11.3
2026-09-10T11:44:40,,40.0,39.0,0.0,0.437,0.0,29.9,0.0,15.3,0.0,11.3
2026-09-10T11:44:42,,40.0,40.4,0.0,0.435,0.0,30.1,0.0,19.8,0.0,11.3
